symbol,name,current_candidate_status,current_block_reason,unblock_path,unblock_status,unblock_priority,required_conditions,waiting_condition,manual_review_condition,benchmark_condition,factor_gate_condition,metadata_condition,liquidity_condition,estimated_earliest_review_date,can_be_unblocked_by_waiting,can_be_unblocked_by_manual_review,can_be_unblocked_by_refresh,can_be_unblocked_by_benchmark_update,still_blocked_after_primary_fix,next_action,notes
159107,创业板软件ETF富国,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (149/250; rows_needed=101); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (149/250; rows_needed=101),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,2026-10-14,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159108,工业软件ETF博时,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (110/250; rows_needed=140); factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (110/250; rows_needed=140),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,2026-12-08,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159122,创业板新能源ETF富国,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (125/250; rows_needed=125); factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (125/250; rows_needed=125),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,2026-11-17,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159123,光伏ETF嘉实,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (107/250; rows_needed=143); factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (107/250; rows_needed=143),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,2026-12-11,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159129,化工ETF嘉实,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (116/250; rows_needed=134); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (116/250; rows_needed=134),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,2026-11-30,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159133,化工ETF天弘,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (109/250; rows_needed=141); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (109/250; rows_needed=141),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,2026-12-09,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159136,A50ETF广发,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (87/250; rows_needed=163); factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (87/250; rows_needed=163),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159138,工程机械ETF易方达,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (76/250; rows_needed=174); factor_gate_status != blocked_for_strategy_use; keep liquidity watch until tradability threshold is met,row_count >= min_required_rows (76/250; rows_needed=174),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,keep liquidity watch until tradability threshold is met,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159139,科创创业人工智能ETF华泰柏瑞,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (91/250; rows_needed=159); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (91/250; rows_needed=159),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
159140,科创创业人工智能ETF易方达,blocked_short_history,short_history;exclude_from_candidate_pool,wait_for_history,waiting,P1_wait_for_history,row_count >= min_required_rows (92/250; rows_needed=158); factor_gate_status != blocked_for_strategy_use,row_count >= min_required_rows (92/250; rows_needed=158),,usable_benchmark_count > 0 before 007B or benchmark-dependent factor promotion,factor_gate_status != blocked_for_strategy_use,,,unknown,True,False,False,False,True,keep excluded and rerun candidate gate after minimum history is reached,plan only; does not clear candidate gate; benchmark dependency also keeps 007B blocked
