symbol,name,exchange,spot_amount,spot_date,spot_updated_at,asset_class,category,tracking_index,listing_date,latest_date,avg_amount_20,data_rows,is_active,filter_reason,universe_source,fetched_at
517170,沪港深500ETF华夏,SH,460526.0,2026-05-13,2026-05-13 16:11:36+08:00,A股股票,行业主题,沪港深500,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517180,中国国企ETF南方,SH,8656392.0,2026-05-13,2026-05-13 16:11:51+08:00,A股股票,风格,中国国企,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517200,互联网ETF嘉实,SH,2586045.0,2026-05-13,2026-05-13 16:11:56+08:00,A股股票,行业主题,互联网,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517300,沪港深300ETF国寿,SH,6989397.0,2026-05-13,2026-05-13 16:11:40+08:00,A股股票,行业主题,沪港深300国寿,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517330,长江保护ETF易方达,SH,18989.0,2026-05-13,2026-05-13 16:11:58+08:00,A股股票,行业主题,长江保护,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517350,沪港深科技ETF广发,SH,4338361.0,2026-05-13,2026-05-13 16:11:56+08:00,A股股票,行业主题,沪港深科技,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517360,沪港深科技ETF华安,SH,142911.0,2026-05-13,2026-05-13 16:11:39+08:00,A股股票,行业主题,沪港深科技华安,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517380,创新药ETF天弘,SH,25646410.0,2026-05-13,2026-05-13 16:11:59+08:00,A股股票,行业主题,创新药,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517390,云计算ETF天弘,SH,12751576.0,2026-05-13,2026-05-13 16:11:40+08:00,A股股票,行业主题,云计算,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
517550,沪港深消费龙头ETF招商,SH,5087409.0,2026-05-13,2026-05-13 16:11:50+08:00,A股股票,行业主题,沪港深消费龙头招商,,,,,True,,akshare.fund_etf_spot_em,2026-05-13T18:48:31
